אָב|<a>v|father
לְהִתְנַכֵּל|lehitnak<e>l|to harass; to plot against (lit.)
נוֹכֵל|noch<e>l|swindler, con man
הַכָּרָה|hakar<a>|consciousness; acquaintance; recognition
לְהִינָּכֵר|lehinach<e>r|to be recognised, to be known as
לְנַכֵּר|lenak<e>r|to alienate
נַר|n<a>r|acquaintance
לְהַכִּיר|lehak<i>r|to know, to be acquainted, to get acquainted (את)
לְהִתְנַכֵּר|lehitnak<e>r|to alienate, to become estranged from
לְהַכִּישׁ|lehak<i>sh|to bite, to sting (of a snake)
מַכּוֹשׁ|mak<o>sh|pick-axe, hoe
לְהַלִּין|lehal<i>n|to complain (lit.)
לְהַנְמִיךְ|lehanm<i>ch|to lower, to diminish; to lower the volume, to quieten
הַנְמָכָה|hanmach<a>|lowering; quietening
נָמוּךְ|nam<u>ch|low, short
לְנַמְנֵם|lenamn<e>m|to nap, to doze
מְנוּמָּס|menum<a>s|polite
לְנַמֵּק|lenam<e>k|to explain, to justify
נָמֵר|nam<e>r|leopard
נְסִיגָה|nesig<a>|withdrawal, retreat
לְהַסִּיג|lehas<i>g|to recall, to withdraw (troops, etc.)
לְהַסִּיחַ|lehas<i>ach|to move, to put aside (lit.)
נוּסְחָה|nusch<a>|formula
לְנַסֵּחַ|lenas<e>ach|to formulate, to express in words
לְנַסּוֹת|lenas<o>t|to try, to attempt, to test
נִיסָּיוֹן|nisay<o>n|experience; attempt
נִיסּוּי|nis<u>y|experiment, trial
לְהִתְנַסּוֹת|lehitnas<o>t|to be experienced, to get experienced
נְסִיכָה|nesich<a>|princess
נָסִיךְ|nas<i>ch|prince; jack (cards)
לִנְסוֹךְ|lins<o>ch|to pour out (water, wine) (relig.)
מַסֵּכָה|masech<a>|mask
נֵס|n<e>s|miracle, wonder
לְהִתְנוֹסֵס|lehitnos<e>s|to fly (of a flag); to be prominent, noticeable
נְסִיעָה|nesi'<a>|journey, trip, ride
מַסָּע|mas<a>|journey, trip
מַסּוֹעַ|mas<o>a|conveyor belt
לִנְסוֹעַ|lins<o>a|to ride, to drive, to travel
לְהַסִּיעַ|lehas<i>a|to transport, to drive
לְהַסִּיק|lehas<i>k|to deduce, to infer
לְהַסִּיק|lehas<i>k|to ignite, to light up, to set on fire
לִנְסוֹק|lins<o>k|to take off (aircraft), to soar
מַסּוֹק|mas<o>k|helicopter
מַסְּקָנָה|maskan<a>|conclusion
לְנַסֵּר|lenas<e>r|to saw, to cut
נְסוֹרֶת|nes<o>ret|sawdust
מַסּוֹר|mas<o>r|saw (tool)
לִנְסוֹר|lins<o>r|to saw, to cut (rare, talmudic)
לִנְעוֹל|lin'<o>l|to wear, to put on (footwear)
לִנְעוֹל|lin'<o>l|to lock, to close, to shut
תִּנְעוֹלֶת|tin'<o>let|footwear, shoes (rare)
לְהַנְעִיל|lehan'<i>l|to provide with shoes, to shoe
נַעַל|n<a>'al|shoe
נְעִילָה|ne'il<a>|closing, locking; neilah (Yom Kippur service)
לְהִינָּעֵל|lehina'<e>l|to be locked, closed
מַנְעוּל|man'<u>l|lock
לִנְעוֹם|lin'<o>m|to please
לְהַנְעִים|lehan'<i>m|to make pleasant
נָעִים|na'<i>m|pleasant, agreeable, nice
נְעִימָה|ne'im<a>|melody, tune
לְנַעְנֵעַ|lena'an<e>a|to sway, to swing, to rock
לִנְעוֹץ|lin'<o>tz|to insert, to embed, to sting
נָעוּץ|na'<u>tz|stuck, attached, lodged, pinned
נְעוּרִים|ne'ur<i>m|youth, adolescence
לְנַעֵר|lena'<e>r|to shake
לְהִתְנַעֵר|lehitna'<e>r|to shake oneself
לְהִינָּעֵר|lehina'<e>r|to shake oneself, to shake up
לִנְעוֹר|lin'<o>r|to bray (of a donkey)
נַעַר|n<a>'ar|youth, young person
נַעֲרָה|na'ar<a>|girl, young woman
לִנְפּוֹחַ|linp<o>ach|to blow, to exhale
לְנַפֵּחַ|lenap<e>ach|to inflate, to blow up (a balloon, a tire) (transitive)
לְהִתְנַפֵּחַ|lehitnap<e>ach|to swell, to puff up, to become inflated
נַפָּח|nap<a>ch|blacksmith, smith
תַּפּוּחַ|tap<u>ach|apple
לְנַפּוֹת|lenap<o>t|to sift, to sieve
לְהַפִּיל|lehap<i>l|to drop, to throw down
לִיפּוֹל|lip<o>l|to fall, to drop
הַפָּלָה|hapal<a>|abortion
לְהִתְנַפֵּל|lehitnap<e>l|to pounce, to attack, to set upon (על)
לְנַפְנֵף|lenafn<e>f|to wave, to flutter
לְנַפֵּץ|lenap<e>tz|to smash, to shatter something
לְהִתְנַפֵּץ|lehitnap<e>tz|to shatter, to disintegrate (intransitive)
נִיפּוּץ|nip<u>tz|smashing, scattering; explosion
נַפָּץ|nap<a>tz|denotator
לְהַנְפִּיק|lehanp<i>k|to issue (coins, stock, bonds)
לְהַפִּיק|lehap<i>k|to produce (material, resource), to extract (rare)
לְהַנְפִּישׁ|lehanp<i>sh|to animate (rare)
נֶפֶשׁ|n<e>fesh|soul
לִנְפּוֹשׁ|linp<o>sh|to go on vacation, to relax
נְצִיב|netz<i>v|governor, commissioner
נָצִיג|natz<i>g|representative, delegate
נְצִיגוּת|netzig<u>t|representation
לְנַצֵּחַ|lenatz<e>ach|to win; to overcome, to beat; to conduct, to orchestrate
לְהִתְנַצֵּחַ|lehitnatz<e>ach|to wrangle, to argue
לְהַנְצִיחַ|lehantz<i>ach|to perpetuate, to commemorate, to immortalize
הַנְצָחָה|hantzach<a>|memorialization, immortalization
נִיצּוּחַ|nitz<u>ach|conducting (music)
נִיצָּחוֹן|nitzach<o>n|victory
מְנַצֵּחַ|menatz<e>ach|conductor (music); champion, winner
הַצָּלָה|hatzal<a>|rescue
לְהַצִּיל|lehatz<i>l|to rescue, to save
לְהִינָּצֵל|lehinatz<e>l|to be saved, to be rescued, to survive
לְנַצֵּל|lenatz<e>l|to utilize; to exploit, to abuse
לְהִתְנַצֵּל|lehitnatz<e>l|to apologize
נִיצּוּל|nitz<u>l|utilisation, usage
נַצְלָן|natzl<a>n|exploiter
נִיצּוֹלֶת|nitz<o>let|utilisation; efficiency ratio
לְנַצְנֵץ|lenatzn<e>tz|to sparkle, to gleam, to flash
לְהִתְנוֹצֵץ|lehitnotz<e>tz|to shine, to shimmer
לְהָנֵץ|lehan<e>tz|to blossom, to bud
לִנְצוֹץ|lintz<o>tz|to sparkle, to gleam
לְהָנֵץ|lehan<e>tz|to bud, to blossom
נִיצָּן|nitz<a>n|bud (of a flower)
נִיצוֹץ|nitz<o>tz|spark; glimmer; talent, ability
לְהִתְנַצֵּר|lehitnatz<e>r|to convert to Christianity (intransitive)
הִתְנַצְּרוּת|hitnatzr<u>t|baptism, conversion to Christianity
נוֹצְרִי|notzr<i>|Christian
נַצְרוּת|natzr<u>t|Christianity
לִנְצוֹר|lintz<o>r|to keep, to maintain; to lock (a weapon)
לִנְקוֹב|link<o>v|to stipulate, to quote (price); to puncture, to pierce
נְקֵבָה|nekev<a>|female
נִיקּוּד|nik<u>d|vowelling, vocalization, niqqud (system of vowels in Hebrew)
נְקוּדָּה|nekud<a>|point, dot; issue, item
לְנַקֵּד|lenak<e>d|to vowel, to put vowel markings (grammar)
לְהִתְנַקֵּז|lehitnak<e>z|to flow into; to accumulate
לְנַקֵּז|lenak<e>z|to drain
לְהִינָּקֵט|lehinak<e>t|to be implemented (a measure)
לִנְקוֹט|link<o>t|to implement, to use, to adopt (a measure) (ב־ or את)
לְנַקּוֹת|lenak<o>t|to clean, to tidy up
נִיקּוּי|nik<u>y|cleaning
נִיקָּיוֹן|nikay<o>n|cleaning; tidiness
לְהִתְנַקּוֹת|lehitnak<o>t|to clean oneself; to exonerate oneself, to rid oneself (of guilt, responsibility)
נָקִי|nak<i>|clean, pure; innocent
מַקֵּל|mak<e>l|stick, cane
לִנְקוֹם|link<o>m|to avenge, to retaliate (to someone: ב־, for something: את)
נְקָמָה|nekam<a>|revenge, vengeance, retaliation
לְהִתְנַקֵּם|lehitnak<e>m|to take revenge (upon someone) (ב-)
לִנְקוֹעַ|link<o>a|to sprain, to strain
לְהַקִּיף|lehak<i>f|to encircle, to surround; to include, to comprise
מַקָּף|mak<a>f|hyphen
לִנְקוֹף|link<o>f|to strike; to pass (of time)
מַקּוֹר|mak<o>r|beak, bill, roster (of a bird)
לְנַקֵּר|lenak<e>r|to peck; to pierce, to puncture
נַקָּר|nak<a>r|woodpecker
לִנְקוֹשׁ|link<o>sh|to knock, to strike
לְהִתְנַקֵּשׁ|lehitnak<e>sh|to attempt a murder, a crime
לְהַקִּישׁ|lehak<i>sh|to hit, to knock, to strike, to drum; to tap keys on a keyboard
מַקָּשׁ|mak<a>sh|key (on a keyboard)
נָשׂוּי|nas<u>y|married
לְהִתְנַשֵּׂא|lehitnas<e>|to rise (a mountain, monument, smoke); to be arrogant
לָשֵׂאת|las<e>t|to bear, to carry; to tolerate; to marry; to give a speech
לְהִינָּשֵׂא|lehinas<e>|to be raised, to be lifted up; to be given (of a speech); to be married
לְהַשִּׂיא|lehas<i>|to marry off; to officiate at a wedding; to divert, to redirect (a conversation)
נָשִׂיא|nas<i>|president
שִׂיא|s<i>|top, summit, pinnacle
תְּשׂוּאָה|tsu'<a>|yield, return on investment
מוּשָּׂא|mus<a>|object (grammar)
נוֹשֵׂא|nos<e>|topic, theme; subject (grammar)
לְנַשֵּׁב|lenash<e>v|to blow (of wind)
לִנְשׁוֹב|linsh<o>v|to blow (wind)
לְהַשִּׂיג|lehas<i>g|to obtain, to achieve; to catch up with
מוּשָּׂג|mus<a>g|concept, idea
הֶישֵּׂג|hes<e>g|achievement
לְנַשֵּׁךְ|lenash<e>ch|to bite, to sting
לִנְשׁוֹךְ|linsh<o>ch|to bite
לְהִינָּשֵׁךְ|lehinash<e>ch|to be bitten
לְנַשֵּׁל|lenash<e>l|to banish, to expel, to disinherit
לִנְשׁוֹל|linsh<o>l|to shed (e. g. skin, of a snake), to remove shoes (archaic)
לְהַשִּׁיל|lehash<i>l|to shed (skin), to lose (weight)
לִנְשׁוֹם|linsh<o>m|to breathe
לְהִתְנַשֵּׁם|lehitnash<e>m|to breathe heavily
נְשָׁמָה|nesham<a>|soul
לְהַנְשִׁים|lehansh<i>m|to resuscitate, to do artificial respiration
הַנְשָׁמָה|hansham<a>|resuscitation, artificial respiration
לְנַשְׁנֵשׁ|lenashn<e>sh|to have a snack, to nibble
לִנְשׁוֹף|linsh<o>f|to blow, to exhale; to play (a wind instrument)
לְהִתְנַשֵּׁף|lehitnash<e>f|to breathe heavily, to pant
נֶשֶׁף|n<e>shef|party, ball, prom
לְנַשֵּׁף|lenash<e>f|to blow (rare)
יַנְשׁוּף|yansh<u>f|owl
לְנַשֵּׁק|lenash<e>k|to kiss
לְהַשִּׁיק|lehash<i>k|to overlap, to interface, to touch; to launch (a new product, etc.)
לְהִתְנַשֵּׁק|lehitnash<e>k|to kiss
מַשִּׁיק|mash<i>k|tangent (line)
נְשִׁיקָה|neshik<a>|kiss
נֵשֶׁק|n<e>shek|weapon, armament
לִנְשׁוֹק|linsh<o>k|to kiss (someone / something) (ל־)
לִנְשׁוֹר|linsh<o>r|to fall, to drop; to drop out (of school)
לְהַנְשִׁיר|lehansh<i>r|to expel, to dismiss
נֶשֶׁר|n<e>sher|vulture
לְהַשִּׁיר|lehash<i>r|to shed (leaves, hair, feathers); to molt
לְנַתֵּב|lenat<e>v|to guide, to direct, to route
נָתִיב|nat<i>v|route, path, track
לְהַתִּיז|lehat<i>z|to squirt, to splash, to sprinkle
לְהִינָּתֵז|lehinat<e>z|to be sprayed, sprinkled
לְנַתֵּחַ|lenat<e>ach|to operate; to analyse, to investigate
נִיתּוּחַ|nit<u>ach|surgery; analysis, investigation
מַתֶּכֶת|mat<e>chet|metal
לְהַתִּיךְ|lehat<i>ch|to melt (metal)
לָתֵת|lat<e>t|to give, to allow
לְהִינָּתֵן|lehinat<e>n|to be given; to be allowed, to be possible
נָתוּן|nat<u>n|given; subjected; placed, situated
נְתוּנִים|netun<i>m|data
מַתָּנָה|matan<a>|gift
לְנַתֵּץ|lenat<e>tz|to shatter, to break, to smash
לְהַתִּיק|lehat<i>k|to transfer, to shift (rare)
לְהִינָּתֵק|lehinat<e>k|to be cut off, to be severed
הִינָּתְקוּת|hinatk<u>t|detachment, separation
לְהִתְנַתֵּק|lehitnat<e>k|to be disconnected, to be severed, to cut oneself from something
לְנַתֵּק|lenat<e>k|to disconnect, to cut off; to hang up (in a telephone conversation)
מוּתָּר|mut<a>r|allowed, permitted
לְנַתֵּר|lenat<e>r|to hop, to jump
לְהַתִּיר|lehat<i>r|to loosen, to untie; to solve (a problem); to remove, to settle (doubt, argument); to allow, to permit
לְהַתִּישׁ|lehat<i>sh|to tire, to exhaust
הַתָּשָׁה|hatash<a>|attrition, weakening
לְהִסְתָּאֵב|lehista'<e>v|to be defiled; to be morally corrupt (lit.)
לִסְאוֹן|lis'<o>n|to be noisy, to be loud (of a street)
סַבָּא|s<a>ba|grandpa, granddad, grandfather
לְהִסְתּוֹבֵב|lehistov<e>v|to turn around; to wander around
לְהִיסּוֹב|lehis<o>v|to surround; to focus on, to deal with
לְסוֹבֵב|lesov<e>v|to turn (transitive), to spin
לָסוֹב|las<o>v|to revolve, to turn, to spin
לְסַבֵּב|lesab<e>v|to cause; to surround
סֵבֶב|s<e>vev|round, turn, revolution
סְבִיבָה|sviv<a>|environment, surroundings
מְסִיבָּה|mesib<a>|party, gathering, event
סִיבָּה|sib<a>|cause, reason
לְהָסֵב|lehas<e>v|to turn (something), to change (something)
סַבּוֹן|sab<o>n|soap
לְסַבֵּךְ|lesab<e>ch|to entangle (something); to complicate something
תִּסְבּוֹכֶת|tisb<o>chet|confusion, mess, complication
סָבוּךְ|sav<u>ch|complicated, tangled
לְהִסְתַּבֵּךְ|lehistab<e>ch|to become entangled; to encounter difficulties
לִסְבּוֹל|lisb<o>l|to suffer; to tolerate
סֵבֶל|s<e>vel|suffering, hardship
סַבָּל|sab<a>l|porter, carrier
סַבְלָן|savl<a>n|patient, tolerant
סַבְלָנוּת|savlan<u>t|patience, tolerance
לְסַבֵּן|lesab<e>n|to soap; to deceive, to fool (slang)
לְהִסְתַּבֵּן|lehistab<e>n|to soap oneself
לְסַבְסֵד|lesavs<e>d|to subsidize
סָבוּר|sav<u>r|believing that, holding an opinion that (ש־)
לְהַסְבִּיר|lehasb<i>r|to explain, to clarify
סְבָרָה|svar<a>|conjecture, hypothesis; opinion
הֶסְבֵּר|hesb<e>r|explanation
הַסְבָּרָה|hasbar<a>|propaganda
הִסְתַּבְּרוּת|histabr<u>t|probability
לִסְבּוֹר|lisb<o>r|to opine, to believe, to assume
לְהִסְתַּבֵּר|lehistab<e>r|to become clear, to turn out
סָבְתָא|s<a>vta|grandma, grandmother
מִסְגָּד|misg<a>d|mosque
לִסְגּוֹד|lisg<o>d|to bow down (to someone), to worship, to honour
לְסַגֵּל|lesag<e>l|to adapt (something)
הִסְתַּגְּלוּת|histagl<u>t|adaptation, acclimation
מְסוּגָּל|mesug<a>l|capable, able
סָגוֹל|sag<o>l|violet, purple
לְהִסְתַּגֵּל|lehistag<e>l|to adapt, to acclimatize, to adjust (oneself)
סְגוּלָּה|sgul<a>|special property; talisman, folk remedy
סִגְנוֹן|sign<o>n|style
לְסַגְנֵן|lesagn<e>n|to stylize; to polish, to refine
סִיגְנוּן|sign<u>n|styling, fashioning
לְסַגְסֵג|lesags<e>g|to alloy, to melt together
לְהִסְתַּגֵּף|lehistag<e>f|to mortify one's flesh, to abstain from pleasures, to discipline
לְסַגֵּף|lesag<e>f|to torment, to subdue someone's flesh
הַסְגָּרָה|hasgar<a>|extradition, handing over
לִסְגּוֹר|lisg<o>r|to close, to shut; to turn off (a machine, a light)
לְהִיסָּגֵר|lehisag<e>r|to be closed, to be shut
לְהַסְגִּיר|lehasg<i>r|to give away, to hand over (someone); to extradite
סְגִירָה|sgir<a>|closure, closing
מִסְגֶּרֶת|misg<e>ret|frame; framework
מַסְגֵּר|masg<e>r|welder, locksmith
סָגוּר|sag<u>r|closed
לְהִסְתַּגֵּר|lehistag<e>r|to close oneself up (in a room, house; from society)
סַדְנָה|sadn<a>|workshop (place of manufacturing); workshop (study course)
סַדָּן|sad<a>n|anvil; tree stump (lit.); breech block (of a weapon)
לְהִיסָּדֵק|lehisad<e>k|to be cracked, to be fissured
לְסַדֵּק|lesad<e>k|to cause to crack, to fissure
סֶדֶק|s<e>dek|crack, split
לִסְדּוֹק|lisd<o>k|to crack, to cause to crack, to fissure
מִסְדְּרוֹן|misder<o>n|corridor
לְסַדֵּר|lesad<e>r|to organize, to tidy, to arrange
לְהַסְדִּיר|lehasd<i>r|to organize, to arrange, to plan; to solve, to resolve
סֵדֶר|s<e>der|order, arrangement
סִדְרָה|sidr<a>|sequence, series
סַדָּר|sad<a>r|typesetter, compositor (typography)
סַדְרָן|sadr<a>n|steward, usher; dispatcher
סְדָר|sd<a>r|typeset, composition (typography)
סִידּוּרִי|sidur<i>|ordinal (number)
לְהִסְתַּדֵּר|lehistad<e>r|to arrange, to organize oneself; to work out, to manage
סִידּוּר|sid<u>r|arrangement, ordering; prayer book
סַהַר|s<a>har|moon, crescent (lit.)
סוֹהֵר|soh<e>r|jailer, prison ward
סוֹהַר|s<o>har|prison, jail (in the expression בית סוהר)
סַהֲרוֹן|sahar<o>n|croissant
לָסֶגֶת|las<e>get|to withdraw, to retreat
לְסַווֵּג|lesav<e>g|to classify, to categorize; to make secret (classified)
סוּג|s<u>g|type, sort, class, category; genus (biology)
סוֹד|s<o>d|secret
לְהִסְתּוֹדֵד|lehistod<e>d|to talk in secret, to whisper in secret
לְהַסְווֹת|lehasv<o>t|to camouflage, to disguise
סוּס|s<u>s|horse
סוּסָה|sus<a>|mare, horse (female)
סוֹף|s<o>f|end
סוּפָה|suf<a>|storm, tempest
לָסוּר|las<u>r|to turn aside, to deviate (lit.), to visit (formal)
לְהָסִית|lehas<i>t|to incite, to inflame
לִסְחוֹב|lisch<o>v|to drag, to draw, to pull
לְהִיסָּחֵב|lehisach<e>v|to be drawn, to be dragged; to be stolen
לִסְחוֹט|lisch<o>t|to squeeze, to wring; to extort
לְהִיסָּחֵט|lehisach<e>t|to be squeezed out; to be extorted
לִסְחוֹף|lisch<o>f|to wash away, to carry away (of wind)
לְהִיסָּחֵף|lehisach<e>f|to be carried away (by wind or water)
סְחוֹפֶת|sch<o>fet|sediment, silt
לִסְחוֹר|lisch<o>r|to trade (ב-)
מִסְחָר|misch<a>r|trade, commerce
סְחוֹרָה|schor<a>|commodity, good, merchandise
לְסַחְרֵר|lesachr<e>r|to spin, to cause dizziness
לְהִסְתַּחְרֵר|lehistachr<e>r|to feel dizzy
סִיחְרוּר|sichr<u>r|spin, tailspin, spinning dive (aviation)
לִסְטוֹת|list<o>t|to digress, to deviate, to stray
סְטִירָה|stir<a>|slap (on the face, cheek)
לִסְטוֹר|list<o>r|to slap (someone's cheek)
לְהִסְתַּייֵּג|lehistay<e>g|to express doubts, to disagree
לְסַייֵּג|lesay<e>g|to limit, to restrict
הִסְתַּייְּגוּת|histayg<u>t|doubt, hesitation
